c,r,lam,k3,k4,twice_lam,j,pr930_wall,removed_width,support_floor
0,63601,28897,97307,99995,57794,99995,137165,37170,172606
1,63600,28896,97306,99993,57792,99993,137160,37167,172605
2,63599,28895,97304,99991,57790,99991,137155,37164,172603
3,63598,28894,97302,99989,57788,99989,137150,37161,172602
4,63597,28893,97301,99987,57786,99987,137145,37158,172600
5,63596,28892,97299,99985,57784,99985,137140,37155,172599
6,63595,28891,97297,99983,57782,99983,137135,37152,172597
7,63594,28890,97296,99981,57780,99981,137130,37149,172596
8,63593,28889,97294,99979,57778,99979,137125,37146,172594
9,63592,28888,97292,99977,57776,99977,137120,37143,172593
10,63591,28887,97291,99974,57774,99974,137115,37141,172592
11,63590,28886,97289,99972,57772,99972,137110,37138,172590
12,63589,28885,97287,99970,57770,99970,137105,37135,172589
13,63588,28884,97286,99968,57768,99968,137100,37132,172587
14,63587,28883,97284,99966,57766,99966,137095,37129,172586
15,63586,28882,97282,99964,57764,99964,137090,37126,172584
16,63585,28881,97281,99962,57762,99962,137085,37123,172583
17,63584,28880,97279,99960,57760,99960,137080,37120,172581
18,63583,28879,97277,99958,57758,99958,137075,37117,172580
19,63582,28878,97275,99956,57756,99956,137070,37114,172578
20,63581,28877,97274,99954,57754,99954,137065,37111,172577
21,63580,28876,97272,99952,57752,99952,137060,37108,172575
22,63579,28875,97270,99950,57750,99950,137055,37105,172574
23,63578,28874,97269,99947,57748,99947,137050,37103,172573
24,63577,28873,97267,99945,57746,99945,137045,37100,172571
25,63576,28872,97265,99943,57744,99943,137040,37097,172570
26,63575,28871,97264,99941,57742,99941,137035,37094,172568
27,63574,28870,97262,99939,57740,99939,137030,37091,172567
28,63573,28869,97260,99937,57738,99937,137025,37088,172565
29,63572,28868,97259,99935,57736,99935,137020,37085,172564
30,63571,28867,97257,99933,57734,99933,137015,37082,172562
31,63570,28866,97255,99931,57732,99931,137010,37079,172561
32,63569,28865,97254,99929,57730,99929,137005,37076,172559
33,63568,28864,97252,99927,57728,99927,137000,37073,172558
34,63567,28863,97250,99925,57726,99925,136995,37070,172556
35,63566,28862,97249,99923,57724,99923,136990,37067,172555
36,63565,28861,97247,99920,57722,99920,136985,37065,172554
37,63564,28860,97245,99918,57720,99918,136980,37062,172552
38,63563,28859,97243,99916,57718,99916,136975,37059,172551
39,63562,28858,97242,99914,57716,99914,136970,37056,172549
40,63561,28857,97240,99912,57714,99912,136965,37053,172548
41,63560,28856,97238,99910,57712,99910,136960,37050,172546
42,63559,28855,97237,99908,57710,99908,136955,37047,172545
43,63558,28854,97235,99906,57708,99906,136950,37044,172543
44,63557,28853,97233,99904,57706,99904,136945,37041,172542
45,63556,28852,97232,99902,57704,99902,136940,37038,172540
46,63555,28851,97230,99900,57702,99900,136935,37035,172539
47,63554,28850,97228,99898,57700,99898,136930,37032,172537
48,63553,28849,97227,99895,57698,99895,136925,37030,172536
49,63552,28848,97225,99893,57696,99893,136920,37027,172535
50,63551,28847,97223,99891,57694,99891,136915,37024,172533
51,63550,28846,97222,99889,57692,99889,136910,37021,172532
52,63549,28845,97220,99887,57690,99887,136905,37018,172530
53,63548,28844,97218,99885,57688,99885,136900,37015,172529
54,63547,28843,97216,99883,57686,99883,136895,37012,172527
55,63546,28842,97215,99881,57684,99881,136890,37009,172526
56,63545,28841,97213,99879,57682,99879,136885,37006,172524
57,63544,28840,97211,99877,57680,99877,136880,37003,172523
58,63543,28839,97210,99875,57678,99875,136875,37000,172521
59,63542,28838,97208,99873,57676,99873,136870,36997,172520
60,63541,28837,97206,99871,57674,99871,136865,36994,172518
