c,m,stage_degree,budget,t3,mt3,t4,mt4,t4_optimizer
0,1,28897,1893670464,97307,97307,99995,99995,28897
1,1,28896,1893604930,97306,97306,99993,99993,28896
1,2,14448,473370402,48652,97304,49996,99992,14448
1,4,7224,118327186,24326,97304,24998,99992,7224
1,8,3612,29574090,12162,97296,12498,99984,3612
1,16,1806,7389670,6081,97296,6249,99984,1806
2,1,28895,1893539396,97304,97304,99991,99991,28895
3,1,28894,1893473862,97302,97302,99989,99989,28894
3,2,14447,473337636,48651,97302,49994,99988,14447
4,1,28893,1893408328,97301,97301,99987,99987,28893
5,1,28892,1893342794,97299,97299,99985,99985,28892
5,2,14446,473304870,48649,97298,49992,99984,14446
5,4,7223,118310804,24324,97296,24995,99980,7223
6,1,28891,1893277260,97297,97297,99983,99983,28891
7,1,28890,1893211726,97296,97296,99981,99981,28890
7,2,14445,473272104,48647,97294,49990,99980,14445
8,1,28889,1893146192,97294,97294,99979,99979,28889
9,1,28888,1893080658,97292,97292,99977,99977,28888
9,2,14444,473239338,48646,97292,49988,99976,14444
9,4,7222,118294422,24322,97288,24993,99972,7222
9,8,3611,29565900,12161,97288,12496,99968,3611
10,1,28887,1893015124,97291,97291,99974,99974,28887
11,1,28886,1892949590,97289,97289,99972,99972,28886
11,2,14443,473206572,48644,97288,49986,99972,14443
12,1,28885,1892884056,97287,97287,99970,99970,28885
13,1,28884,1892818522,97286,97286,99968,99968,28884
13,2,14442,473173806,48642,97284,49984,99968,14442
13,4,7221,118278040,24321,97284,24991,99964,7221
14,1,28883,1892752988,97284,97284,99966,99966,28883
15,1,28882,1892687454,97282,97282,99964,99964,28882
15,2,14441,473141040,48641,97282,49982,99964,14441
16,1,28881,1892621920,97281,97281,99962,99962,28881
17,1,28880,1892556386,97279,97279,99960,99960,28880
17,2,14440,473108274,48639,97278,49979,99958,14440
17,4,7220,118261658,24319,97276,24989,99956,7220
17,8,3610,29557710,12159,97272,12494,99952,3610
17,16,1805,7385576,6079,97264,6247,99952,1805
17,32,902,1843446,3038,97216,3122,99904,902
18,1,28879,1892490852,97277,97277,99958,99958,28879
19,1,28878,1892425318,97275,97275,99956,99956,28878
19,2,14439,473075508,48637,97274,49977,99954,14439
20,1,28877,1892359784,97274,97274,99954,99954,28877
21,1,28876,1892294250,97272,97272,99952,99952,28876
21,2,14438,473042742,48635,97270,49975,99950,14438
21,4,7219,118245276,24317,97268,24987,99948,7219
22,1,28875,1892228716,97270,97270,99950,99950,28875
23,1,28874,1892163182,97269,97269,99947,99947,28874
23,2,14437,473009976,48634,97268,49973,99946,14437
24,1,28873,1892097648,97267,97267,99945,99945,28873
25,1,28872,1892032114,97265,97265,99943,99943,28872
25,2,14436,472977210,48632,97264,49971,99942,14436
25,4,7218,118228894,24315,97260,24985,99940,7218
25,8,3609,29549520,12157,97256,12492,99936,3609
26,1,28871,1891966580,97264,97264,99941,99941,28871
27,1,28870,1891901046,97262,97262,99939,99939,28870
27,2,14435,472944444,48630,97260,49969,99938,14435
28,1,28869,1891835512,97260,97260,99937,99937,28869
29,1,28868,1891769978,97259,97259,99935,99935,28868
29,2,14434,472911678,48629,97258,49967,99934,14434
29,4,7217,118212512,24314,97256,24983,99932,7217
30,1,28867,1891704444,97257,97257,99933,99933,28867
31,1,28866,1891638910,97255,97255,99931,99931,28866
31,2,14433,472878912,48627,97254,49965,99930,14433
32,1,28865,1891573376,97254,97254,99929,99929,28865
33,1,28864,1891507842,97252,97252,99927,99927,28864
33,2,14432,472846146,48625,97250,49963,99926,14432
33,4,7216,118196130,24312,97248,24981,99924,7216
33,8,3608,29541330,12155,97240,12490,99920,3608
33,16,1804,7381482,6077,97232,6244,99904,1804
34,1,28863,1891442308,97250,97250,99925,99925,28863
35,1,28862,1891376774,97249,97249,99923,99923,28862
35,2,14431,472813380,48624,97248,49961,99922,14431
36,1,28861,1891311240,97247,97247,99920,99920,28861
37,1,28860,1891245706,97245,97245,99918,99918,28860
37,2,14430,472780614,48622,97244,49959,99918,14430
37,4,7215,118179748,24310,97240,24979,99916,7215
38,1,28859,1891180172,97243,97243,99916,99916,28859
39,1,28858,1891114638,97242,97242,99914,99914,28858
39,2,14429,472747848,48620,97240,49957,99914,14429
40,1,28857,1891049104,97240,97240,99912,99912,28857
41,1,28856,1890983570,97238,97238,99910,99910,28856
41,2,14428,472715082,48619,97238,49955,99910,14428
41,4,7214,118163366,24309,97236,24977,99908,7214
41,8,3607,29533140,12154,97232,12488,99904,3607
42,1,28855,1890918036,97237,97237,99908,99908,28855
43,1,28854,1890852502,97235,97235,99906,99906,28854
43,2,14427,472682316,48617,97234,49952,99904,14427
44,1,28853,1890786968,97233,97233,99904,99904,28853
45,1,28852,1890721434,97232,97232,99902,99902,28852
45,2,14426,472649550,48615,97230,49950,99900,14426
45,4,7213,118146984,24307,97228,24975,99900,7213
46,1,28851,1890655900,97230,97230,99900,99900,28851
47,1,28850,1890590366,97228,97228,99898,99898,28850
47,2,14425,472616784,48614,97228,49948,99896,14425
48,1,28849,1890524832,97227,97227,99895,99895,28849
49,1,28848,1890459298,97225,97225,99893,99893,28848
49,2,14424,472584018,48612,97224,49946,99892,14424
49,4,7212,118130602,24305,97220,24973,99892,7212
49,8,3606,29524950,12152,97216,12486,99888,3606
49,16,1803,7377388,6075,97200,6242,99872,1803
49,32,901,1841400,3036,97152,3120,99840,901
49,64,450,458878,1517,97088,1558,99712,450
50,1,28847,1890393764,97223,97223,99891,99891,28847
51,1,28846,1890328230,97222,97222,99889,99889,28846
51,2,14423,472551252,48610,97220,49944,99888,14423
52,1,28845,1890262696,97220,97220,99887,99887,28845
53,1,28844,1890197162,97218,97218,99885,99885,28844
53,2,14422,472518486,48609,97218,49942,99884,14422
53,4,7211,118114220,24304,97216,24971,99884,7211
54,1,28843,1890131628,97216,97216,99883,99883,28843
55,1,28842,1890066094,97215,97215,99881,99881,28842
55,2,14421,472485720,48607,97214,49940,99880,14421
56,1,28841,1890000560,97213,97213,99879,99879,28841
57,1,28840,1889935026,97211,97211,99877,99877,28840
57,2,14420,472452954,48605,97210,49938,99876,14420
57,4,7210,118097838,24302,97208,24968,99872,7210
57,8,3605,29516760,12150,97200,12484,99872,3605
58,1,28839,1889869492,97210,97210,99875,99875,28839
59,1,28838,1889803958,97208,97208,99873,99873,28838
59,2,14419,472420188,48603,97206,49936,99872,14419
60,1,28837,1889738424,97206,97206,99871,99871,28837
61,1,28836,1889672890,97205,97205,99868,99868,28836
61,2,14418,472387422,48602,97204,49934,99868,14418
61,4,7209,118081456,24300,97200,24966,99864,7209
62,1,28835,1889607356,97203,97203,99866,99866,28835
63,1,28834,1889541822,97201,97201,99864,99864,28834
63,2,14417,472354656,48600,97200,49932,99864,14417
64,1,28833,1889476288,97200,97200,99862,99862,28833
65,1,28832,1889410754,97198,97198,99860,99860,28832
65,2,14416,472321890,48598,97196,49930,99860,14416
65,4,7208,118065074,24299,97196,24964,99856,7208
65,8,3604,29508570,12149,97192,12482,99856,3604
65,16,1802,7373294,6074,97184,6240,99840,1802
66,1,28831,1889345220,97196,97196,99858,99858,28831
67,1,28830,1889279686,97195,97195,99856,99856,28830
67,2,14415,472289124,48597,97194,49927,99854,14415
68,1,28829,1889214152,97193,97193,99854,99854,28829
69,1,28828,1889148618,97191,97191,99852,99852,28828
69,2,14414,472256358,48595,97190,49925,99850,14414
69,4,7207,118048692,24297,97188,24962,99848,7207
70,1,28827,1889083084,97190,97190,99850,99850,28827
71,1,28826,1889017550,97188,97188,99848,99848,28826
71,2,14413,472223592,48593,97186,49923,99846,14413
72,1,28825,1888952016,97186,97186,99846,99846,28825
73,1,28824,1888886482,97184,97184,99844,99844,28824
73,2,14412,472190826,48592,97184,49921,99842,14412
73,4,7206,118032310,24295,97180,24960,99840,7206
73,8,3603,29500380,12147,97176,12480,99840,3603
74,1,28823,1888820948,97183,97183,99841,99841,28823
75,1,28822,1888755414,97181,97181,99839,99839,28822
75,2,14411,472158060,48590,97180,49919,99838,14411
76,1,28821,1888689880,97179,97179,99837,99837,28821
77,1,28820,1888624346,97178,97178,99835,99835,28820
77,2,14410,472125294,48588,97176,49917,99834,14410
77,4,7205,118015928,24294,97176,24958,99832,7205
78,1,28819,1888558812,97176,97176,99833,99833,28819
79,1,28818,1888493278,97174,97174,99831,99831,28818
79,2,14409,472092528,48587,97174,49915,99830,14409
80,1,28817,1888427744,97173,97173,99829,99829,28817
81,1,28816,1888362210,97171,97171,99827,99827,28816
81,2,14408,472059762,48585,97170,49913,99826,14408
81,4,7204,117999546,24292,97168,24956,99824,7204
81,8,3602,29492190,12145,97160,12477,99816,3602
81,16,1801,7369200,6072,97152,6238,99808,1801
81,32,900,1839354,3035,97120,3118,99776,900
82,1,28815,1888296676,97169,97169,99825,99825,28815
83,1,28814,1888231142,97168,97168,99823,99823,28814
83,2,14407,472026996,48583,97166,49911,99822,14407
84,1,28813,1888165608,97166,97166,99821,99821,28813
85,1,28812,1888100074,97164,97164,99819,99819,28812
85,2,14406,471994230,48582,97164,49909,99818,14406
85,4,7203,117983164,24290,97160,24954,99816,7203
86,1,28811,1888034540,97163,97163,99816,99816,28811
87,1,28810,1887969006,97161,97161,99814,99814,28810
87,2,14405,471961464,48580,97160,49907,99814,14405
88,1,28809,1887903472,97159,97159,99812,99812,28809
89,1,28808,1887837938,97157,97157,99810,99810,28808
89,2,14404,471928698,48578,97156,49905,99810,14404
89,4,7202,117966782,24288,97152,24952,99808,7202
89,8,3601,29484000,12144,97152,12475,99800,3601
90,1,28807,1887772404,97156,97156,99808,99808,28807
91,1,28806,1887706870,97154,97154,99806,99806,28806
91,2,14403,471895932,48576,97152,49903,99806,14403
92,1,28805,1887641336,97152,97152,99804,99804,28805
93,1,28804,1887575802,97151,97151,99802,99802,28804
93,2,14402,471863166,48575,97150,49900,99800,14402
93,4,7201,117950400,24287,97148,24950,99800,7201
94,1,28803,1887510268,97149,97149,99800,99800,28803
95,1,28802,1887444734,97147,97147,99798,99798,28802
95,2,14401,471830400,48573,97146,49898,99796,14401
96,1,28801,1887379200,97146,97146,99796,99796,28801
97,1,28800,1887313666,97144,97144,99794,99794,28800
97,2,14400,471797634,48571,97142,49896,99792,14400
97,4,7200,117934018,24285,97140,24948,99792,7200
97,8,3600,29475810,12142,97136,12473,99784,3600
97,16,1800,7365106,6070,97120,6236,99776,1800
98,1,28799,1887248132,97142,97142,99792,99792,28799
99,1,28798,1887182598,97141,97141,99789,99789,28798
99,2,14399,471764868,48570,97140,49894,99788,14399
100,1,28797,1887117064,97139,97139,99787,99787,28797
101,1,28796,1887051530,97137,97137,99785,99785,28796
101,2,14398,471732102,48568,97136,49892,99784,14398
101,4,7199,117917636,24283,97132,24946,99784,7199
102,1,28795,1886985996,97136,97136,99783,99783,28795
103,1,28794,1886920462,97134,97134,99781,99781,28794
103,2,14397,471699336,48566,97132,49890,99780,14397
104,1,28793,1886854928,97132,97132,99779,99779,28793
105,1,28792,1886789394,97131,97131,99777,99777,28792
105,2,14396,471666570,48565,97130,49888,99776,14396
105,4,7198,117901254,24282,97128,24943,99772,7198
105,8,3599,29467620,12140,97120,12471,99768,3599
106,1,28791,1886723860,97129,97129,99775,99775,28791
107,1,28790,1886658326,97127,97127,99773,99773,28790
107,2,14395,471633804,48563,97126,49886,99772,14395
108,1,28789,1886592792,97125,97125,99771,99771,28789
109,1,28788,1886527258,97124,97124,99769,99769,28788
109,2,14394,471601038,48561,97122,49884,99768,14394
109,4,7197,117884872,24280,97120,24941,99764,7197
110,1,28787,1886461724,97122,97122,99767,99767,28787
111,1,28786,1886396190,97120,97120,99764,99764,28786
111,2,14393,471568272,48560,97120,49882,99764,14393
112,1,28785,1886330656,97119,97119,99762,99762,28785
113,1,28784,1886265122,97117,97117,99760,99760,28784
113,2,14392,471535506,48558,97116,49880,99760,14392
113,4,7196,117868490,24278,97112,24939,99756,7196
113,8,3598,29459430,12139,97112,12469,99752,3598
113,16,1799,7361012,6069,97104,6234,99744,1799
113,32,899,1837308,3033,97056,3116,99712,899
113,64,449,457856,1515,96960,1556,99584,449
113,128,224,113730,756,96768,777,99456,224
113,256,112,28194,377,96512,388,99328,112
113,512,56,6930,188,96256,193,98816,56
113,1024,28,1674,94,96256,96,98304,28
113,2048,14,390,46,94208,48,98304,14
114,1,28783,1886199588,97115,97115,99758,99758,28783
115,1,28782,1886134054,97114,97114,99756,99756,28782
115,2,14391,471502740,48556,97112,49878,99756,14391
116,1,28781,1886068520,97112,97112,99754,99754,28781
117,1,28780,1886002986,97110,97110,99752,99752,28780
117,2,14390,471469974,48555,97110,49875,99750,14390
117,4,7195,117852108,24277,97108,24937,99748,7195
118,1,28779,1885937452,97109,97109,99750,99750,28779
119,1,28778,1885871918,97107,97107,99748,99748,28778
119,2,14389,471437208,48553,97106,49873,99746,14389
120,1,28777,1885806384,97105,97105,99746,99746,28777
121,1,28776,1885740850,97104,97104,99744,99744,28776
121,2,14388,471404442,48551,97102,49871,99742,14388
121,4,7194,117835726,24275,97100,24935,99740,7194
121,8,3597,29451240,12137,97096,12467,99736,3597
122,1,28775,1885675316,97102,97102,99742,99742,28775
123,1,28774,1885609782,97100,97100,99739,99739,28774
123,2,14387,471371676,48549,97098,49869,99738,14387
124,1,28773,1885544248,97098,97098,99737,99737,28773
125,1,28772,1885478714,97097,97097,99735,99735,28772
125,2,14386,471338910,48548,97096,49867,99734,14386
125,4,7193,117819344,24273,97092,24933,99732,7193
126,1,28771,1885413180,97095,97095,99733,99733,28771
127,1,28770,1885347646,97093,97093,99731,99731,28770
127,2,14385,471306144,48546,97092,49865,99730,14385
128,1,28769,1885282112,97092,97092,99729,99729,28769
129,1,28768,1885216578,97090,97090,99727,99727,28768
129,2,14384,471273378,48544,97088,49863,99726,14384
129,4,7192,117802962,24272,97088,24931,99724,7192
129,8,3596,29443050,12135,97080,12465,99720,3596
129,16,1798,7356918,6067,97072,6232,99712,1798
130,1,28767,1885151044,97088,97088,99725,99725,28767
131,1,28766,1885085510,97087,97087,99723,99723,28766
131,2,14383,471240612,48543,97086,49861,99722,14383
132,1,28765,1885019976,97085,97085,99721,99721,28765
133,1,28764,1884954442,97083,97083,99719,99719,28764
133,2,14382,471207846,48541,97082,49859,99718,14382
133,4,7191,117786580,24270,97080,24929,99716,7191
134,1,28763,1884888908,97082,97082,99717,99717,28763
135,1,28762,1884823374,97080,97080,99715,99715,28762
135,2,14381,471175080,48539,97078,49857,99714,14381
136,1,28761,1884757840,97078,97078,99712,99712,28761
137,1,28760,1884692306,97077,97077,99710,99710,28760
137,2,14380,471142314,48538,97076,49855,99710,14380
137,4,7190,117770198,24268,97072,24927,99708,7190
137,8,3595,29434860,12134,97072,12463,99704,3595
138,1,28759,1884626772,97075,97075,99708,99708,28759
139,1,28758,1884561238,97073,97073,99706,99706,28758
139,2,14379,471109548,48536,97072,49853,99706,14379
140,1,28757,1884495704,97071,97071,99704,99704,28757
141,1,28756,1884430170,97070,97070,99702,99702,28756
141,2,14378,471076782,48534,97068,49851,99702,14378
141,4,7189,117753816,24267,97068,24925,99700,7189
142,1,28755,1884364636,97068,97068,99700,99700,28755
143,1,28754,1884299102,97066,97066,99698,99698,28754
143,2,14377,471044016,48533,97066,49848,99696,14377
144,1,28753,1884233568,97065,97065,99696,99696,28753
145,1,28752,1884168034,97063,97063,99694,99694,28752
145,2,14376,471011250,48531,97062,49846,99692,14376
145,4,7188,117737434,24265,97060,24923,99692,7188
145,8,3594,29426670,12132,97056,12461,99688,3594
145,16,1797,7352824,6065,97040,6230,99680,1797
145,32,898,1835262,3031,96992,3113,99616,898
146,1,28751,1884102500,97061,97061,99692,99692,28751
147,1,28750,1884036966,97060,97060,99690,99690,28750
147,2,14375,470978484,48529,97058,49844,99688,14375
148,1,28749,1883971432,97058,97058,99687,99687,28749
149,1,28748,1883905898,97056,97056,99685,99685,28748
149,2,14374,470945718,48528,97056,49842,99684,14374
149,4,7187,117721052,24263,97052,24921,99684,7187
150,1,28747,1883840364,97055,97055,99683,99683,28747
151,1,28746,1883774830,97053,97053,99681,99681,28746
151,2,14373,470912952,48526,97052,49840,99680,14373
152,1,28745,1883709296,97051,97051,99679,99679,28745
153,1,28744,1883643762,97050,97050,99677,99677,28744
153,2,14372,470880186,48524,97048,49838,99676,14372
153,4,7186,117704670,24262,97048,24919,99676,7186
153,8,3593,29418480,12130,97040,12459,99672,3593
154,1,28743,1883578228,97048,97048,99675,99675,28743
155,1,28742,1883512694,97046,97046,99673,99673,28742
155,2,14371,470847420,48522,97044,49836,99672,14371
156,1,28741,1883447160,97044,97044,99671,99671,28741
157,1,28740,1883381626,97043,97043,99669,99669,28740
157,2,14370,470814654,48521,97042,49834,99668,14370
157,4,7185,117688288,24260,97040,24916,99664,7185
158,1,28739,1883316092,97041,97041,99667,99667,28739
159,1,28738,1883250558,97039,97039,99665,99665,28738
159,2,14369,470781888,48519,97038,49832,99664,14369
160,1,28737,1883185024,97038,97038,99662,99662,28737
161,1,28736,1883119490,97036,97036,99660,99660,28736
161,2,14368,470749122,48517,97034,49830,99660,14368
161,4,7184,117671906,24258,97032,24914,99656,7184
161,8,3592,29410290,12128,97024,12457,99656,3592
161,16,1796,7348730,6064,97024,6228,99648,1796
162,1,28735,1883053956,97034,97034,99658,99658,28735
163,1,28734,1882988422,97033,97033,99656,99656,28734
163,2,14367,470716356,48516,97032,49828,99656,14367
164,1,28733,1882922888,97031,97031,99654,99654,28733
165,1,28732,1882857354,97029,97029,99652,99652,28732
165,2,14366,470683590,48514,97028,49826,99652,14366
165,4,7183,117655524,24256,97024,24912,99648,7183
166,1,28731,1882791820,97028,97028,99650,99650,28731
167,1,28730,1882726286,97026,97026,99648,99648,28730
167,2,14365,470650824,48512,97024,49823,99646,14365
168,1,28729,1882660752,97024,97024,99646,99646,28729
169,1,28728,1882595218,97022,97022,99644,99644,28728
169,2,14364,470618058,48511,97022,49821,99642,14364
169,4,7182,117639142,24255,97020,24910,99640,7182
169,8,3591,29402100,12127,97016,12455,99640,3591
170,1,28727,1882529684,97021,97021,99642,99642,28727
171,1,28726,1882464150,97019,97019,99640,99640,28726
171,2,14363,470585292,48509,97018,49819,99638,14363
172,1,28725,1882398616,97017,97017,99637,99637,28725
173,1,28724,1882333082,97016,97016,99635,99635,28724
173,2,14362,470552526,48507,97014,49817,99634,14362
173,4,7181,117622760,24253,97012,24908,99632,7181
174,1,28723,1882267548,97014,97014,99633,99633,28723
175,1,28722,1882202014,97012,97012,99631,99631,28722
175,2,14361,470519760,48506,97012,49815,99630,14361
176,1,28721,1882136480,97011,97011,99629,99629,28721
177,1,28720,1882070946,97009,97009,99627,99627,28720
177,2,14360,470486994,48504,97008,49813,99626,14360
177,4,7180,117606378,24251,97004,24906,99624,7180
177,8,3590,29393910,12125,97000,12453,99624,3590
177,16,1795,7344636,6062,96992,6226,99616,1795
177,32,897,1833216,3030,96960,3111,99552,897
177,64,448,456834,1513,96832,1554,99456,448
178,1,28719,1882005412,97007,97007,99625,99625,28719
179,1,28718,1881939878,97006,97006,99623,99623,28718
179,2,14359,470454228,48502,97004,49811,99622,14359
180,1,28717,1881874344,97004,97004,99621,99621,28717
181,1,28716,1881808810,97002,97002,99619,99619,28716
181,2,14358,470421462,48501,97002,49809,99618,14358
181,4,7179,117589996,24250,97000,24904,99616,7179
182,1,28715,1881743276,97001,97001,99617,99617,28715
183,1,28714,1881677742,96999,96999,99615,99615,28714
183,2,14357,470388696,48499,96998,49807,99614,14357
184,1,28713,1881612208,96997,96997,99612,99612,28713
185,1,28712,1881546674,96995,96995,99610,99610,28712
185,2,14356,470355930,48497,96994,49805,99610,14356
185,4,7178,117573614,24248,96992,24902,99608,7178
185,8,3589,29385720,12123,96984,12450,99600,3589
186,1,28711,1881481140,96994,96994,99608,99608,28711
187,1,28710,1881415606,96992,96992,99606,99606,28710
187,2,14355,470323164,48495,96990,49803,99606,14355
188,1,28709,1881350072,96990,96990,99604,99604,28709
189,1,28708,1881284538,96989,96989,99602,99602,28708
189,2,14354,470290398,48494,96988,49801,99602,14354
189,4,7177,117557232,24246,96984,24900,99600,7177
190,1,28707,1881219004,96987,96987,99600,99600,28707
191,1,28706,1881153470,96985,96985,99598,99598,28706
191,2,14353,470257632,48492,96984,49798,99596,14353
192,1,28705,1881087936,96984,96984,99596,99596,28705
