id,status,source,n,k,rho,q_line,q_base,a,sigma,r,delta,gap_to_capacity_eta,numerator_lower,denominator,score_bits,verdict,notes,delta_float,eta_float
F17^32-n512-k256-tangent-a257,PROVED,experiments.tex moving-root tangent lower floor,512,256,1/2,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,257,1,255,255/512,1/512,256,2367911594760467245844106297320951247361,5.201189079989149,UNSAFE,Direct finite-slope support-wise MCA lower row; no CS25 import needed.,0.498046875,0.001953125
F17^32-n512-k256-tangent-exact-edge-a427,PROVED,experiments.tex moving-root tangent lower floor,512,256,1/2,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,427,171,85,85/512,171/512,86,2367911594760467245844106297320951247361,3.627453834691238,UNSAFE,Direct finite-slope support-wise MCA lower row; no CS25 import needed.,0.166015625,0.333984375
F17^32-n512-k256-paperD-N512,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,512,256,1/2,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,258,2,254,127/256,1/256,4624827333516537589539270111954982905,2367911594760467245844106297320951247361,119.0,UNSAFE,Cap divisor N=512; delta <= 127/256; hypothesis margin 253.553 bits; effective numerator from eps>(q-n)/(2kq).,0.49609375,0.00390625
prime192-rho1_2-k2^40-paperD-N512,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1108101562368,8589934592,1090921693184,127/256,1/256,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=512; delta <= 127/256; hypothesis margin 163.151 bits; effective numerator from eps>(q-n)/(2kq).,0.49609375,0.00390625
prime192-rho1_2-k2^40-paperD-N1024,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1103806595072,4294967296,1095216660480,255/512,1/512,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=1024; delta <= 255/512; hypothesis margin 674.663 bits; effective numerator from eps>(q-n)/(2kq).,0.498046875,0.001953125
prime192-rho1_2-k2^40-paperD-N2048,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1101659111424,2147483648,1097364144128,511/1024,1/1024,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=2048; delta <= 511/1024; hypothesis margin 1698.168 bits; effective numerator from eps>(q-n)/(2kq).,0.4990234375,0.0009765625
prime192-rho1_2-k2^40-paperD-N4096,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1100585369600,1073741824,1098437885952,1023/2048,1/2048,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=4096; delta <= 1023/2048; hypothesis margin 3745.671 bits; effective numerator from eps>(q-n)/(2kq).,0.49951171875,0.00048828125
prime192-rho1_2-k2^40-paperD-N8192,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1100048498688,536870912,1098974756864,2047/4096,1/4096,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=8192; delta <= 2047/4096; hypothesis margin 7841.173 bits; effective numerator from eps>(q-n)/(2kq).,0.499755859375,0.000244140625
prime192-rho1_2-k2^40-paperD-N16384,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099780063232,268435456,1099243192320,4095/8192,1/8192,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=16384; delta <= 4095/8192; hypothesis margin 16032.674 bits; effective numerator from eps>(q-n)/(2kq).,0.4998779296875,0.0001220703125
prime192-rho1_2-k2^40-paperD-N32768,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099645845504,134217728,1099377410048,8191/16384,1/16384,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=32768; delta <= 8191/16384; hypothesis margin 32416.174 bits; effective numerator from eps>(q-n)/(2kq).,0.49993896484375,6.103515625e-05
prime192-rho1_2-k2^40-paperD-N65536,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099578736640,67108864,1099444518912,16383/32768,1/32768,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=65536; delta <= 16383/32768; hypothesis margin 65183.674 bits; effective numerator from eps>(q-n)/(2kq).,0.499969482421875,3.0517578125e-05
prime192-rho1_2-k2^40-paperD-N131072,PROVED_PAPERD_V5_CAP,Paper D v5 universal cap,2199023255552,1099511627776,1/2,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099545182208,33554432,1099478073344,32767/65536,1/65536,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,87.0,UNSAFE,Cap divisor N=131072; delta <= 32767/65536; hypothesis margin 130719.174 bits; effective numerator from eps>(q-n)/(2kq).,0.4999847412109375,1.52587890625e-05
